Date,Open,High,Low,Close,Volume,boll_mavg,boll_hband,boll_lband,boll_hband_ind,boll_lband_ind,boll_bandwidth,RSI,daily_return,ROC,MACD,on_balance_volume,temp,pct_change,Future,DX-Y.NYB_DX-Y.NYB_DX-Y.NYB_Open,DX-Y.NYB_DX-Y.NYB_DX-Y.NYB_High,DX-Y.NYB_DX-Y.NYB_DX-Y.NYB_Low,DX-Y.NYB_DX-Y.NYB_DX-Y.NYB_Close,DX-Y.NYB_DX-Y.NYB_DX-Y.NYB_Volume,DX-Y.NYB_DX-Y.NYB_DX-Y.NYB_boll_mavg,DX-Y.NYB_DX-Y.NYB_DX-Y.NYB_boll_hband,DX-Y.NYB_DX-Y.NYB_DX-Y.NYB_boll_lband,DX-Y.NYB_DX-Y.NYB_DX-Y.NYB_boll_hband_ind,DX-Y.NYB_DX-Y.NYB_DX-Y.NYB_boll_lband_ind,DX-Y.NYB_DX-Y.NYB_DX-Y.NYB_boll_bandwidth,DX-Y.NYB_DX-Y.NYB_DX-Y.NYB_RSI,DX-Y.NYB_DX-Y.NYB_DX-Y.NYB_daily_return,DX-Y.NYB_DX-Y.NYB_DX-Y.NYB_ROC,DX-Y.NYB_DX-Y.NYB_DX-Y.NYB_MACD,DX-Y.NYB_DX-Y.NYB_DX-Y.NYB_on_balance_volume,BTC-USD_BTC-USD_BTC-USD_Open,BTC-USD_BTC-USD_BTC-USD_High,BTC-USD_BTC-USD_BTC-USD_Low,BTC-USD_BTC-USD_BTC-USD_Close,BTC-USD_BTC-USD_BTC-USD_Volume,BTC-USD_BTC-USD_BTC-USD_boll_mavg,BTC-USD_BTC-USD_BTC-USD_boll_hband,BTC-USD_BTC-USD_BTC-USD_boll_lband,BTC-USD_BTC-USD_BTC-USD_boll_hband_ind,BTC-USD_BTC-USD_BTC-USD_boll_lband_ind,BTC-USD_BTC-USD_BTC-USD_boll_bandwidth,BTC-USD_BTC-USD_BTC-USD_RSI,BTC-USD_BTC-USD_BTC-USD_daily_return,BTC-USD_BTC-USD_BTC-USD_ROC,BTC-USD_BTC-USD_BTC-USD_MACD,BTC-USD_BTC-USD_BTC-USD_on_balance_volume,SPX_SPX_SPX_Open,SPX_SPX_SPX_High,SPX_SPX_SPX_Low,SPX_SPX_SPX_Close,SPX_SPX_SPX_Adj Close,SPX_SPX_SPX_Volume,SPX_SPX_SPX_boll_mavg,SPX_SPX_SPX_boll_hband,SPX_SPX_SPX_boll_lband,SPX_SPX_SPX_boll_hband_ind,SPX_SPX_SPX_boll_lband_ind,SPX_SPX_SPX_boll_bandwidth,SPX_SPX_SPX_RSI,SPX_SPX_SPX_daily_return,SPX_SPX_SPX_ROC,SPX_SPX_SPX_MACD,SPX_SPX_SPX_on_balance_volume,SI=F_SI=F_SI=F_Open,SI=F_SI=F_SI=F_High,SI=F_SI=F_SI=F_Low,SI=F_SI=F_SI=F_Close,SI=F_SI=F_SI=F_Volume,SI=F_SI=F_SI=F_boll_mavg,SI=F_SI=F_SI=F_boll_hband,SI=F_SI=F_SI=F_boll_lband,SI=F_SI=F_SI=F_boll_hband_ind,SI=F_SI=F_SI=F_boll_lband_ind,SI=F_SI=F_SI=F_boll_bandwidth,SI=F_SI=F_SI=F_RSI,SI=F_SI=F_SI=F_daily_return,SI=F_SI=F_SI=F_ROC,SI=F_SI=F_SI=F_MACD,SI=F_SI=F_SI=F_on_balance_volume,CL=F_CL=F_CL=F_Open,CL=F_CL=F_CL=F_High,CL=F_CL=F_CL=F_Low,CL=F_CL=F_CL=F_Close,CL=F_CL=F_CL=F_Volume,CL=F_CL=F_CL=F_boll_mavg,CL=F_CL=F_CL=F_boll_hband,CL=F_CL=F_CL=F_boll_lband,CL=F_CL=F_CL=F_boll_hband_ind,CL=F_CL=F_CL=F_boll_lband_ind,CL=F_CL=F_CL=F_boll_bandwidth,CL=F_CL=F_CL=F_RSI,CL=F_CL=F_CL=F_daily_return,CL=F_CL=F_CL=F_ROC,CL=F_CL=F_CL=F_MACD,CL=F_CL=F_CL=F_on_balance_volume
2020-01-17,1554.0999755859375,1558.800048828125,1553.5999755859375,1558.800048828125,98,,,,0.0,0.0,,,-7.2669822578774195,,,98,,,0.9990377213542381,97.30999755859375,97.66000366210938,97.2699966430664,97.61000061035156,0.0,,,,0.0,0.0,,,-0.9298151298067325,,,0.0,8725.2099609375,8958.1220703125,8677.31640625,8929.0380859375,36372139320,,,,0.0,0.0,,,4.042635001712913,,,36372139320,,,,,,,,,,,,,,,,,,18.01300048828125,18.01300048828125,18.01300048828125,18.01300048828125,52,,,,0.0,0.0,,,6.7461363587822065,,,52,58.59000015258789,58.97999954223633,58.27000045776367,58.540000915527344,182871.0,,,,0.0,0.0,,,64.84104676023976,,,182871.0
2020-01-19,1557.300048828125,1559.0999755859375,1555.9000244140625,1557.300048828125,97444,,,,0.0,0.0,,,-0.0962278645761927,,,-97346,1558.800048828125,0.9990377213542381,0.9994220610121088,,,,,,,,,,,,,,,,,8941.4453125,9164.3623046875,8620.080078125,8706.2451171875,34217320471,,,,0.0,0.0,,,-2.6452928527155417,,,34492591475,,,,,,,,,,,,,,,,,,18.040000915527344,18.059999465942383,18.020000457763672,18.045000076293945,17850,,,,0.0,0.0,,,0.17764718339685626,,,17902,,,,,,,,,,,,,,,,
2020-01-21,1559.300048828125,1566.199951171875,1551.0,1556.4000244140625,108,,,,0.0,0.0,,,-0.05779389878911578,,,-97454,1557.300048828125,0.9994220610121088,0.9992932565094558,97.62999725341797,97.66000366210938,97.38999938964844,97.52999877929688,0.0,,,,0.0,0.0,,,-0.08196069107103687,,,0.0,8658.9912109375,8755.7060546875,8544.5205078125,8745.89453125,24097418512,,,,0.0,0.0,,,1.0193531591149663,,,32167634309,,,,,,,,,,,,,,,,,,17.750999450683594,17.750999450683594,17.750999450683594,17.750999450683594,67,,,,0.0,0.0,,,-1.629263642933343,,,17835,59.16999816894531,59.72999954223633,57.68000030517578,58.34000015258789,122561.0,,,,0.0,0.0,,,-0.34164803520938536,,,60310.0
2020-01-22,1549.800048828125,1557.0999755859375,1549.800048828125,1555.300048828125,45,,,,0.0,0.0,,,-0.0706743490544226,,,-97499,1556.4000244140625,0.9992932565094558,1.0059795065041113,97.62000274658203,97.69000244140625,97.44000244140625,97.52999877929688,0.0,,,,0.0,0.0,,,0.0,,,0.0,8744.2109375,8792.994140625,8636.7470703125,8680.8759765625,22600204050,,,,0.0,0.0,,,-0.7434180055016837,,,9567430259,,,,,,,,,,,,,,,,,,17.770999908447266,17.770999908447266,17.770999908447266,17.770999908447266,175,,,,0.0,0.0,,,0.11267229104050536,,,18010,58.2599983215332,58.380001068115234,56.029998779296875,56.7400016784668,648335.0,,,,0.0,0.0,,,-2.742541086623773,,,-588025.0
2020-01-23,1553.0999755859375,1564.5999755859375,1552.199951171875,1564.5999755859375,42,,,,0.0,0.0,,,0.5979506504111276,,,-97457,1555.300048828125,1.0059795065041113,1.0041544165290976,97.4800033569336,97.80000305175781,97.43000030517578,97.69000244140625,0.0,,,,0.0,0.0,,,0.16405584344509894,,,0.0,8680.650390625,8687.7470703125,8333.6376953125,8406.515625,25770680778,,,,0.0,0.0,,,-3.160514587505292,,,-16203250519,,,,,,,,,,,,,,,,,,17.729999542236328,17.773000717163086,17.729999542236328,17.773000717163086,0,,,,0.0,0.0,,,0.011258841517802765,,,18010,56.11000061035156,56.27000045776367,54.77000045776367,55.59000015258789,620119.0,,,,0.0,0.0,,,-2.02679149076469,,,-1208144.0
2020-01-24,1556.300048828125,1571.0999755859375,1556.300048828125,1571.0999755859375,15,,,,0.0,0.0,,,0.41544165290976487,,,-97442,1564.5999755859375,1.0041544165290976,1.0071288100160594,97.72000122070312,97.94999694824219,97.66999816894531,97.8499984741211,0.0,,,,0.0,0.0,,,0.16377933126863198,,,0.0,8405.5673828125,8514.6669921875,8266.8408203125,8445.4345703125,24397913025,,,,0.0,0.0,,,0.4629616722148233,,,8194662506,,,,,,,,,,,,,,,,,,17.8700008392334,18.05699920654297,17.8700008392334,18.05699920654297,110,,,,0.0,0.0,,,1.5979208795374067,,,18120,55.689998626708984,55.95000076293945,53.849998474121094,54.189998626708984,703995.0,,,,0.0,0.0,,,-2.5184413060551747,,,-1912139.0
2020-01-26,1580.5,1588.4000244140625,1578.699951171875,1582.300048828125,858573,,,,0.0,0.0,,,0.7128810016059361,,,761131,1571.0999755859375,1.0071288100160594,0.9965240473802214,,,,,,,,,,,,,,,,,8364.41015625,8602.4013671875,8325.498046875,8596.830078125,22177678795,,,,0.0,0.0,,41.36864530169287,2.7364554337216074,,,10725009753,,,,,,,,,,,,,,,,,,18.260000228881836,18.375,18.21500015258789,18.2450008392334,141571,,,,0.0,0.0,,,1.0411565650526589,,,159691,53.70000076293945,53.709999084472656,52.150001525878906,52.63999938964844,1009546.0,,,,0.0,0.0,,,-2.8603049941702485,,,-2921685.0
2020-01-27,1584.300048828125,1584.5,1576.800048828125,1576.800048828125,43,,,,0.0,0.0,,,-0.34759526197786217,,,761088,1582.300048828125,0.9965240473802214,0.9951800498345378,97.87999725341797,98.0,97.77999877929688,97.95999908447266,0.0,,,,0.0,0.0,,,0.11241759025746312,,,0.0,8597.30859375,8977.7265625,8597.30859375,8909.8193359375,28647338393,,,,0.0,0.0,,59.61006552848403,3.6407519395889265,,,39372348146,,,,,,,,,,,,,,,,,,18.0,18.0,18.0,18.0,280,,,,0.0,0.0,,,-1.342838191087159,,,159411,53.70000076293945,53.709999084472656,52.130001068115234,53.13999938964844,586195.0,,,,0.0,0.0,,,0.9498480353294259,,,-2335490.0
2020-01-28,1576.4000244140625,1576.4000244140625,1569.199951171875,1569.199951171875,22,,,,0.0,0.0,,,-0.4819950165462217,,,761066,1576.800048828125,0.9951800498345378,1.0003824226834839,97.94999694824219,98.16000366210938,97.9000015258789,98.0199966430664,0.0,,,,0.0,0.0,,,0.06124699791187904,,,0.0,8912.5244140625,9358.58984375,8908.447265625,9358.58984375,34398744402,,,,0.0,0.0,,72.99518583649333,5.036808165148732,,,73771092548,,,,,,,,,,,,,,,,,,17.604999542236328,17.604999542236328,17.402000427246094,17.402000427246094,2,,,,0.0,0.0,,,-3.3222198486328125,,,159409,52.77000045776367,54.060001373291016,52.68000030517578,53.47999954223633,712880.0,,,,0.0,0.0,,,0.6398196396180555,,,-1622610.0
2020-01-29,1569.800048828125,1569.800048828125,1569.800048828125,1569.800048828125,3,,,,0.0,0.0,,58.84023751324388,0.0382422683483874,,,761069,1569.199951171875,1.0003824226834839,1.0087271950221317,97.94999694824219,98.19000244140625,97.94000244140625,97.98999786376953,0.0,,,,0.0,0.0,,,-0.030604754462615347,,,0.0,9357.470703125,9406.431640625,9269.4677734375,9316.6298828125,30682598115,,,,0.0,0.0,,70.56571800603093,-0.4483577295090302,4.340801250309652,,43088494433,,,,,,,,,,,,,,,,,,17.450000762939453,17.450000762939453,17.3700008392334,17.430999755859375,10,,,,0.0,0.0,,30.111332606498138,0.16664364958800526,,,159419,53.970001220703125,54.369998931884766,52.810001373291016,53.33000183105469,633963.0,,,,0.0,0.0,,,-0.2804744062557041,,,-2256573.0
